title,date,url,scandal_of_company,company_name,related_company_name
フードデリバリー配達したと装い報酬を不正に得る…男２人逮捕,2024-11-13 16:51:00,https://kbc.co.jp/news/article.php?id\u003d13998346\u0026ymd\u003d2024-11-13,N,-,-
アトレチコ鈴鹿でのカズの役割とは。“不祥事クラブ”からの脱却へ（2024年11月13日）｜BIGLOBEニュース,2024-11-13 16:00:00,https://news.biglobe.ne.jp/sports/1113/fbt_241113_0797996977.html,Y,アトレチコ鈴鹿,-
写真ニュース(1/1): アトレチコ鈴鹿でのカズの役割とは。“不祥事クラブ”からの脱却へ,2024-11-13 16:00:00,https://news.biglobe.ne.jp/sports/1113/0797996977/fbt_fbt_20241113160115_1_jpg.html,Y,アトレチコ鈴鹿,-
アトレチコ鈴鹿でのカズの役割とは。“不祥事クラブ”からの脱却へ,2024-11-13 16:00:00,https://football-tribe.com/japan/2024/11/13/317017/2/,Y,アトレチコ鈴鹿,-
山形市 不正受給でこども園の学校法人理事長を刑事告訴,2024-11-13 15:42:00,https://www3.nhk.or.jp/lnews/yamagata/20241113/6020022395.html,N,山形市,-
『マイダイアリー』「大事なお知らせ」に反響 吉川愛ミニスカ推し活姿→急転「不祥事とか？」「ダメージでかいわ」,2024-11-13 14:19:59,https://www1.yamagata-np.jp/oricon/print.php?id\u003d2353970,N,吉川愛,-
1社単独では見抜けない不正を検知、クレジットカードのナッジが業界横断の顔画像による不正検知サービス「LIQUID Shield」を導入,2024-11-13 13:16:38,https://liquidinc.asia/2024-11-13/,Y,LIQUID Shield,LIQUID
『マイダイアリー』「大事なお知らせ」に反響 吉川愛ミニスカ推し活姿→急転「不祥事とか?」「ダメージでかいわ」,2024-11-13 13:07:00,https://www.oricon.co.jp/news/2353970/full/,N,吉川愛,-
10～30代男女が「もうテレビで見たくない不祥事芸能人」、訴訟取り下げが話題のダウンタウン松本人志もランクイン【4～10位】,2024-11-13 11:34:44,https://www.msn.com/ja-jp/news/entertainment/10-30%E4%BB%A3%E7%94%B7%E5%A5%B3%E3%81%8C-%E3%82%82%E3%81%86%E3%83%86%E3%83%AC%E3%83%93%E3%81%A7%E8%A6%8B%E3%81%9F%E3%81%8F%E3%81%AA%E3%81%84%E4%B8%8D%E7%A5%A5%E4%BA%8B%E8%8A%B8%E8%83%BD%E4%BA%BA-%E8%A8%B4%E8%A8%9F%E5%8F%96%E3%82%8A%E4%B8%8B%E3%81%92%E3%81%8C%E8%A9%B1%E9%A1%8C%E3%81%AE%E3%83%80%E3%82%A6%E3%83%B3%E3%82%BF%E3%82%A6%E3%83%B3%E6%9D%BE%E6%9C%AC%E4%BA%BA%E5%BF%97%E3%82%82%E3%83%A9%E3%83%B3%E3%82%AF%E3%82%A4%E3%83%B3-4-10%E4%BD%8D/ar-AA1tYMG9,N,ダウンタウン松本人志,-
PayPay、決済上限が1回50万→100万円に--不正利用されたら？ 補償をおさらい,2024-11-13 11:28:00,https://japan.cnet.com/article/35226056/,Y,PayPay,-
10～30代男女が「もうテレビで見たくない不祥事芸能人」、訴訟取り下げが話題の松本人志もランクイン【4～10位】,2024-11-13 11:12:00,https://www.j-cast.com/tv/todays_topic/entry.html?id\u003d1229252972475203710,N,松本人志,-
"旅行の「クラブツーリズム」、4,000件以上のツアー参加者情報流出のおそれ 不正アクセス被害",2024-11-13 11:11:25,https://act1.co.jp/2024_11_13-2/,Y,クラブツーリズム,KNT-CTホールディングス
10～30代男女が「もうテレビで見たくない不祥事芸能人」、訴訟取り下げが話題のダウンタウン松本人志もランクイン【第4位以下】,2024-11-13 11:00:00,https://pinzuba.news/articles/-/8805,N,ダウンタウン松本人志,-
ニュース「そば粉「純国産」偽装か？製粉会社会長ら不正競争防止法違反容疑で逮捕」,2024-11-13 10:10:47,https://www.corporate-legal.jp/news/5912,Y,製粉会社会長,-
